i    j    k    brain       skull       skin        outside     
2    9    11   0.357422    0.274902    0.253906    0.113770    
2    9    9    0.000000    0.015625    0.119141    0.865234    
2    9    10   0.069336    0.196289    0.288086    0.446289    
2    9    12   0.636230    0.254395    0.104004    0.005371    
2    9    14   0.947266    0.052246    0.000488    0.000000    
2    9    15   0.968750    0.031250    0.000000    0.000000    
2    9    16   0.967285    0.032715    0.000000    0.000000    
2    9    17   0.940430    0.059570    0.000000    0.000000    
2    9    19   0.627441    0.259277    0.104980    0.008301    
2    9    20   0.354492    0.260742    0.255371    0.129395    
2    9    18   0.842285    0.140625    0.017090    0.000000    
2    9    21   0.063477    0.212402    0.253418    0.470703    
2    9    23   0.000000    0.000000    0.000488    0.999512    
2    9    22   0.000000    0.020508    0.112305    0.867188    
2    10   8    0.000000    0.005859    0.087402    0.906738    
2    10   9    0.068359    0.192871    0.291992    0.446777    
2    10   10   0.422852    0.277344    0.200195    0.099609    
2    10   11   0.783691    0.180664    0.035645    0.000000    
2    10   12   0.980957    0.019043    0.000000    0.000000    
2    10   14   1.000000    0.000000    0.000000    0.000000    
2    10   13   1.000000    0.000000    0.000000    0.000000    
2    10   15   1.000000    0.000000    0.000000    0.000000    
2    10   16   1.000000    0.000000    0.000000    0.000000    
2    10   19   0.979004    0.020996    0.000000    0.000000    
2    10   18   1.000000    0.000000    0.000000    0.000000    
2    10   17   1.000000    0.000000    0.000000    0.000000    
2    10   20   0.774414    0.193848    0.031738    0.000000    
2    10   21   0.418457    0.266113    0.221191    0.094238    
2    10   23   0.000000    0.009766    0.080078    0.910156    
2    10   22   0.059570    0.200684    0.273438    0.466309    
2    11   7    0.000000    0.000000    0.019043    0.980957    
2    11   10   0.786621    0.171387    0.041992    0.000000    
2    11   12   1.000000    0.000000    0.000000    0.000000    
2    11   11   0.992676    0.007324    0.000000    0.000000    
2    11   8    0.017090    0.129883    0.239746    0.613281    
2    11   9    0.358887    0.256836    0.264160    0.120117    
2    11   13   1.000000    0.000000    0.000000    0.000000    
2    11   14   1.000000    0.000000    0.000000    0.000000    
